Footprint,Quantity,Value,LCSC Part #,board
0603,2,10uF, C19702,VSDSquadron_Mini
0402,2,20pF, C1554,VSDSquadron_Mini
0402,5,0.1uF, C1525,VSDSquadron_Mini
USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0,,VSDSquadron_Mini
PinHeader_1x07_P2.54mm_Vertical,4,Conn_01x07,C492406,VSDSquadron_Mini
0603,2,LED (Blue),C2288 ,VSDSquadron_Mini
0603,1,LED (Red),C2286,VSDSquadron_Mini
0402,1,10k, C25744,VSDSquadron_Mini
0402,4,1k, C11702,VSDSquadron_Mini
0402,2,5.1k, C25905,VSDSquadron_Mini
0402,3,0, C17168,VSDSquadron_Mini
0402,2,100, C25076,VSDSquadron_Mini
0402,2,270, C138294,VSDSquadron_Mini
TS-1088-AR02016_miniPushSwitch,2,SW_Push,C720477,VSDSquadron_Mini
5mm_push,1,SW_Push,C5381221,VSDSquadron_Mini
SOT-223-3_TabPin2,1,ME1117A33B3G,C94058 ,VSDSquadron_Mini
TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V305FBP6,C5123443,VSDSquadron_Mini
QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,CH32V003F4U6,C5299908,VSDSquadron_Mini
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C251611,VSDSquadron_Mini
0402,21,0.1uF,C1525,VSDSquadron_FM
0603,4,4.7uF, C19666,VSDSquadron_FM
0402,1,15pF,C1548,VSDSquadron_FM
0402,2,22pF,C1555,VSDSquadron_FM
0603,4,10uF, C19702,VSDSquadron_FM
D_SOD-323,1,D,C22640,VSDSquadron_FM
PinHeader_1x08_P2.54mm_Vertical,4,Conn_01x08,C6332201,VSDSquadron_FM
USB-C-YTC-TC16S-23,1,USB_C,,VSDSquadron_FM
LED_Cree-PLCC4_2x2mm_CW,1,LED_ARGB, C108793,VSDSquadron_FM
0402,1,LED (Red), C264407,VSDSquadron_FM
0402,1,LED (Blue), C434445,VSDSquadron_FM
0402,1,100 ohms,C25138,VSDSquadron_FM
0402,5,10k,C25744,VSDSquadron_FM
0402,5,5.1k,C25905,VSDSquadron_FM
0402,1,1.5k,C25867,VSDSquadron_FM
0402,3,0 ohm,C17168 ,VSDSquadron_FM
0402,1,12k,C25752,VSDSquadron_FM
TS-1088-AR02016_miniPushSwitch,1,SW_Push,C720477,VSDSquadron_FM
QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,1,iCE40UP5k-SG48ITR, C2678152,VSDSquadron_FM
SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,C179173,VSDSquadron_FM
LQFP-48_7x7mm_P0.5mm,1,FT232H,C51997,VSDSquadron_FM
SOT-23-3,1,AZ1117-1.2, C29175,VSDSquadron_FM
SOT-23-3,1,AZ1117-3.3,C5336479,VSDSquadron_FM
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz, C709194,VSDSquadron_FM
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz, C7275089,VSDSquadron_FM
0402,8,10uF,C15525,VSDSquadron_Pro
0402,24,0.1uF, C1525,VSDSquadron_Pro
0402,4,27pF, C1557,VSDSquadron_Pro
0402,1,15pF,C1548,VSDSquadron_Pro
0402,3,4.7uF, C23733,VSDSquadron_Pro
0402,1,10nF,C15195,VSDSquadron_Pro
0402,2,22uF,C415703,VSDSquadron_Pro
D_SOD-323,1,D, C7420360,VSDSquadron_Pro
PinHeader_1x12_P2.54mm_Vertical,4,Conn_01x14_Female,C2894937,VSDSquadron_Pro
USB-C-YTC-TC16S-23,1,USB_C_Receptacle_USB2.0,C2927300,VSDSquadron_Pro
0603,5,LED_B, C375575,VSDSquadron_Pro
0603,1,LED_R,C2286,VSDSquadron_Pro
0402,1,120 Ohm, C25079,VSDSquadron_Pro
0402,4,1k Ohm, C11702,VSDSquadron_Pro
0402,3,100k Ohm, C25741,VSDSquadron_Pro
0402,2,12K Ohm, C25752,VSDSquadron_Pro
0402,2,5.1k Ohm, C25905,VSDSquadron_Pro
0402,6,470 Ohm, C25117,VSDSquadron_Pro
0402,1,1M Ohm, C26083,VSDSquadron_Pro
SW_PUSH_6mm,2,SW_SPST,C720477,VSDSquadron_Pro
QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias,1,FE310-G002,C22370604,VSDSquadron_Pro
QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,1,FT2232HQ-REEL,C193662,VSDSquadron_Pro
SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ, C82344,VSDSquadron_Pro
SOT-223-3_TabPin2,1,AMS1117-3.3, C2992570,VSDSquadron_Pro
SOT-223-3_TabPin2,1,AMS1117-1.8, C347220,VSDSquadron_Pro
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32.7680kHz, C3003273,VSDSquadron_Pro
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,C7275097,VSDSquadron_Pro
Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12Mhz,C7275089,VSDSquadron_Pro
